,name,link,caption_top,caption_bottom,local_link,votes
17,Ash Meme,/Ash-Meme,AY GIRL,your hot,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
18,Ash Meme,/Ash-Meme,"misty,may,dawn or iris?",ill date them all based on where i am,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
19,Ash Meme,/Ash-Meme,AY GURL,I'MMA RAICHU A LOVE SONG,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
20,Ash Meme,/Ash-Meme,my gf evolved in wife at level 30,she learned community property,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
21,Ash Meme,/Ash-Meme,This meme,ruined my childhood,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
22,Ash Meme,/Ash-Meme,,I farted.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
23,Ash Meme,/Ash-Meme,Ay 18yO GURL,Ur Deng-gerously hot,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
24,Ash Meme,/Ash-Meme,wanna play with my...,POKE BALLZZ...,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
25,Ash Meme,/Ash-Meme,"I was bored,",until I came across this...,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
26,Ash Meme,/Ash-Meme,FUCK YOU GUYS ARE FEEDING,COME HERE RED BUFF,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
27,Ash Meme,/Ash-Meme,EHi Misty,Giochiamo con le mie pokepalle.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
28,Ash Meme,/Ash-Meme,...,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
29,Ash Meme,/Ash-Meme,hey pedobear,your my next capture!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
30,Ash Meme,/Ash-Meme,ay gurl,i just got a cubone,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
31,Ash Meme,/Ash-Meme,AY GIRL,I BE POKIN YOU ALL NIGHT LONG,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
32,Ash Meme,/Ash-Meme,Dirty hackurz,gotta catch 'em all,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
33,Ash Meme,/Ash-Meme,Ay girl,Can I put my onix in your cloyster,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
34,Ash Meme,/Ash-Meme,Gyal yuh pussy does taste,better than yuh callalloo,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
35,Ash Meme,/Ash-Meme,Miranda,Gotta catch 'em all,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
36,Ash Meme,/Ash-Meme,Ay brad,HAppy birthday,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
37,Ash Meme,/Ash-Meme,DAM ELEX,DAT FACE,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
38,Ash Meme,/Ash-Meme,i gave that miltank a berry,miltanks love berries,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
39,Ash Meme,/Ash-Meme,Ay kayla,how bout you jiggleypuff on these master balls,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
40,Ash Meme,/Ash-Meme,I want to be a wizard,like no hippi ever was,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
41,Ash Meme,/Ash-Meme,I want to be a wizard,like no hippie ever was,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
42,Ash Meme,/Ash-Meme,Herro,When i give a gurl this look that bitch knows shes coming home with me,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
43,Ash Meme,/Ash-Meme,Shake that!,Every Day im troll trollinnnnininin,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
44,Ash Meme,/Ash-Meme,fuck off,bitch i have a pokeball and your gunna be in it,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
45,Ash Meme,/Ash-Meme,new female c3g member,gurl let me get them digletts,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
46,Ash Meme,/Ash-Meme,Ash on a,wednesday,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
47,Ash Meme,/Ash-Meme,,Wednesday,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
48,Ash Meme,/Ash-Meme,AY GURL,DEM SOME DEE-FINED CHEEKBONES,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
49,Ash Meme,/Ash-Meme,Come on ms mime,Take it from behind,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
50,Ash Meme,/Ash-Meme,ay gurl,you 18 yet?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
51,Ash Meme,/Ash-Meme,A WILD LAN,HAS APPEARED,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
52,Ash Meme,/Ash-Meme,A WILD LAN,HAS APPEARED,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
53,Ash Meme,/Ash-Meme,,Pika Pika.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
54,Ash Meme,/Ash-Meme,bhalo achen mama,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
55,Ash Meme,/Ash-Meme,Cbass,Não curtes..,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
56,Ash Meme,/Ash-Meme,ay gurl ay,how bout you jigglypuff on these master balls?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
57,Ash Meme,/Ash-Meme,Ay gurl ay,how bout you jigglypuff on these master balls,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
58,Ash Meme,/Ash-Meme,AY GIRL,if you vote franklin for asb prez i'll level up,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
59,Ash Meme,/Ash-Meme,AYE GURL,YOU LOOK VERY GOLDEEN UNDER THE SUNLIGHT,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
60,Ash Meme,/Ash-Meme,Jetzt gleich ins bett,sich schon auf das 2000te comment morgen freuen,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
61,Ash Meme,/Ash-Meme,ay gurl,ill muk on your igglybuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
62,Ash Meme,/Ash-Meme,i know where you live,Alex thomas,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
63,Ash Meme,/Ash-Meme,I lob,j,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
64,Ash Meme,/Ash-Meme,Ay cookie,my gyrados is gonna use thrash all up in yo cloyster,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
65,Ash Meme,/Ash-Meme,Hey Brian,Let me get in them sheets,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
66,Ash Meme,/Ash-Meme,Hey Noah,Let me get in your Pants,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
67,Ash Meme,/Ash-Meme,hmmm dat,ash...,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
68,Ash Meme,/Ash-Meme,ay gurl,letme put ur mouth in my masterballs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
69,Ash Meme,/Ash-Meme,AY GURL,YOU MAKE MY METAPOD HARDENS,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
70,Ash Meme,/Ash-Meme,I see you,when you shower!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
71,Ash Meme,/Ash-Meme,"aye gurl, lemme squirtle",on dem jigglypuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
72,Ash Meme,/Ash-Meme,Butterfree up your schedule,Cuz Imma bedrillin you all night,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
73,Ash Meme,/Ash-Meme,Sisi tu,MI PIACI,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
74,Ash Meme,/Ash-Meme,Vas caminando por la calle,Y te retan a un duelo pokémon.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
75,Ash Meme,/Ash-Meme,AY GIRL,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
76,Ash Meme,/Ash-Meme,IM GONNA MAKE YOU,SQUEAL LIKE A PIG,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
77,Ash Meme,/Ash-Meme,,ay girl,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
78,Ash Meme,/Ash-Meme,ay gurl,lemme get a pikachu before i golurk in caas,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
79,Ash Meme,/Ash-Meme,thats not water,thats my squirtle,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
80,Ash Meme,/Ash-Meme,"Ay girl, I wanna kiss you",Wit my penis,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
81,Ash Meme,/Ash-Meme,LLies,Mai darlin,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
82,Ash Meme,/Ash-Meme,Y,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
83,Ash Meme,/Ash-Meme,sILVIO,PANSA,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
84,Ash Meme,/Ash-Meme,Mr isaac goes to next urinal,nice watch,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
85,Ash Meme,/Ash-Meme,*Choose a partner*,and you look at your friend like,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
86,Ash Meme,/Ash-Meme,talk shit about preuss?,"yeah, i love it when you disrespect me",/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
87,Ash Meme,/Ash-Meme,AYE GURL,talkin shit about preuss?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
88,Ash Meme,/Ash-Meme,your uniform,i like dat shit,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
89,Ash Meme,/Ash-Meme,,sende bundan varmı ..,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
90,Ash Meme,/Ash-Meme,Ms aya,nice watch,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
91,Ash Meme,/Ash-Meme,ms aya,nice phone,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
92,Ash Meme,/Ash-Meme,AY GIrl,Yo Arms so Big You must be Ambidextrous,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
93,Ash Meme,/Ash-Meme,hahahahah,I KNUW RIGHHH,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
94,Ash Meme,/Ash-Meme,Watch nah family you working Sissons awa?,Cuz all i seein is good looks that last        (N.M),/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
95,Ash Meme,/Ash-Meme,Watch nah family you working Sissons awa?,Cuz all i seein is good looks that last        (N.M),/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
96,Ash Meme,/Ash-Meme,Watch nah family you working Sissons awa?,Cuz all i seein is good looks that last        (N.M),/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
97,Ash Meme,/Ash-Meme,Ay Girl,I like dem Vineyards,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
98,Ash Meme,/Ash-Meme,Go pikapoo,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
99,Ash Meme,/Ash-Meme,IMMA FATASS,AND I LOVE IT,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
100,Ash Meme,/Ash-Meme,Hey gurl,let me squirtle on your jigglepuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
101,Ash Meme,/Ash-Meme,Ramirez Bart dat,Aaaaaaaaaaaasssssshhhhh,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
102,Ash Meme,/Ash-Meme,hhhmmmmmm,silikon,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
103,Ash Meme,/Ash-Meme,"AY GIRL ,",I CHOOSE YOU,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
104,Ash Meme,/Ash-Meme,Hey Maria,Let me squirrel on them jiggly puffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
105,Ash Meme,/Ash-Meme,Ay girl wanna come over to myspace,and twitter my yahoo til i google all over your facebook?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
106,Ash Meme,/Ash-Meme,hey girl can i,squirtle all over your jiggilypuff??,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
107,Ash Meme,/Ash-Meme,oye chico',ese carro tiene turbo,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
108,Ash Meme,/Ash-Meme,ay girl,i left some chocolate in your toilet,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
109,Ash Meme,/Ash-Meme,Hey gurl,wanna frolic?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
110,Ash Meme,/Ash-Meme,you gonna,get raped,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
111,Ash Meme,/Ash-Meme,you butterfree up your schedule,cuz ima bedrillin you all night,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
112,Ash Meme,/Ash-Meme,pROOF ASH IS TROLLING ME!,XD,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
113,Ash Meme,/Ash-Meme,I hurd thomas were mad at me,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
114,Ash Meme,/Ash-Meme,Hi lizziepoo,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
115,Ash Meme,/Ash-Meme,Hi samm,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
116,Ash Meme,/Ash-Meme,Hi,Lizziepoo,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
117,Ash Meme,/Ash-Meme,howdy there,want some candy?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
118,Ash Meme,/Ash-Meme,Lol that's a,Good idea,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
119,Ash Meme,/Ash-Meme,That's a good,Idea monica,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
120,Ash Meme,/Ash-Meme,Youre smart,Mona,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
121,Ash Meme,/Ash-Meme,Mona you're,So smart,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
122,Ash Meme,/Ash-Meme,You are smart,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
123,Ash Meme,/Ash-Meme,That's smart,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
124,Ash Meme,/Ash-Meme,That's smart mona,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
125,Ash Meme,/Ash-Meme,Thats smart,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
126,Ash Meme,/Ash-Meme,,That's smart mona,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
127,Ash Meme,/Ash-Meme,,That's smart,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
128,Ash Meme,/Ash-Meme,That's snart,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
129,Ash Meme,/Ash-Meme,That's smart,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
130,Ash Meme,/Ash-Meme,That's smart mona,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
131,Ash Meme,/Ash-Meme,Mona,That's smart,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
132,Ash Meme,/Ash-Meme,Mona,Good idea,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
133,Ash Meme,/Ash-Meme,Miss white,Dat ass,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
134,Ash Meme,/Ash-Meme,Looking like this while,Checking out a girl drunk,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
135,Ash Meme,/Ash-Meme,Hi,Lucila,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
136,Ash Meme,/Ash-Meme,Faby,Quieres jugar con mis pokebolas?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
137,Ash Meme,/Ash-Meme,SUA BELEZA É COMO OBRA DE GOVERNO...,NUNCA ACABA!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
138,Ash Meme,/Ash-Meme,asked if event was formal and it isnt,went formal anyway,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
139,Ash Meme,/Ash-Meme,Mexican ash,U don't wanna know,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
140,Ash Meme,/Ash-Meme,Ay Carlos,Why you don't you and jalhani join me in bed,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
141,Ash Meme,/Ash-Meme,Ay Carlos,Why don't you an jahlani join me in bed,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
142,Ash Meme,/Ash-Meme,Ya tu sabe papi,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
143,Ash Meme,/Ash-Meme,Ayyyy gurl,Lemme squirtle on yo gigglypuff,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
144,Ash Meme,/Ash-Meme,ay gyal,like yuh fadda does cut cane how yuh sweet so,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
145,Ash Meme,/Ash-Meme,ay gyal,yuh like vanish good for wood,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
146,Ash Meme,/Ash-Meme,ay gyal,how yuh like vanish so ..good for wood,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
147,Ash Meme,/Ash-Meme,ay gyal,how yuh like vanish so good for wood,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
148,Ash Meme,/Ash-Meme,ay gyal,yuh like vanish good for wood,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
149,Ash Meme,/Ash-Meme,WiLd Jaemi appears,Saving my master ball for you,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
150,Ash Meme,/Ash-Meme,Wasssup girl!,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
151,Ash Meme,/Ash-Meme,AY Sarah,Don't kill anyone today,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
152,Ash Meme,/Ash-Meme,Ay Sarah,Don't kill anyone today okay?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
153,Ash Meme,/Ash-Meme,AY GIRL,YOU BETTA CALM DEM TITTIES,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
154,Ash Meme,/Ash-Meme,"AY GIRL, THINK I NEED CPR",WANNA GIVE ME SOME MOUF TO MOUF?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
155,Ash Meme,/Ash-Meme,"AY GIRL, I NEED CPR",BETTER GIMMIE DAT MOUF 2 MOUF,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
156,Ash Meme,/Ash-Meme,I'm going in dry,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
157,Ash Meme,/Ash-Meme,,I'm going in dry,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
158,Ash Meme,/Ash-Meme,I wonder what the bounce rate is on that ass.,Her butt is like whoa.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
159,Ash Meme,/Ash-Meme,AIY GUAL.. ALL DA PRESSURE AH GO GIV,YUH PIPE GO BUSS,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
160,Ash Meme,/Ash-Meme,aiy gual... yuh like play whe,i jes wa puh meh mark on yuh,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
161,Ash Meme,/Ash-Meme,GUAl yuh fada wukin wasa owa,how fuh face dig up so,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
162,Ash Meme,/Ash-Meme,aye girl how your black so?,your mother make love to a coal,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
163,Ash Meme,/Ash-Meme,I wanna be the very best,no one's ever won!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
164,Ash Meme,/Ash-Meme,Ay girl,What's the drop rate on those panties you're wearing.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
165,Ash Meme,/Ash-Meme,Gyal like yuh frrom macoya,yuh like d centre of excellence,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
166,Ash Meme,/Ash-Meme,gyal like yuh from macoya,yuh like d center of excellence,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
167,Ash Meme,/Ash-Meme,You seen mah Staffy gurl,lost him around toomrina gardens gurl,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
168,Ash Meme,/Ash-Meme,lost his staffy,last seen at toormy centro,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
169,Ash Meme,/Ash-Meme,"you,you look","pretty, dirty!!!!         LOL yolo biatch",/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
170,Ash Meme,/Ash-Meme,Aye gyal yuh duss bathe?,How yuh pussy stink so?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
171,Ash Meme,/Ash-Meme,jji,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
172,Ash Meme,/Ash-Meme,ay gurl,i'm gonna take you for a ride,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
173,Ash Meme,/Ash-Meme,ay gurl,i wanna take you for a ride,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
174,Ash Meme,/Ash-Meme,Mmmmmm,Dat ass,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
175,Ash Meme,/Ash-Meme,Ash uses knock out gas,To get you into a van and have you never see your loved ones ever again,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
176,Ash Meme,/Ash-Meme,Waz,Up,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
177,Ash Meme,/Ash-Meme,Whatzzzzz,Yoo Name Girl?,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
178,Ash Meme,/Ash-Meme,Aye Gyal yuh want sumthing from meh,pikachu,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
179,Ash Meme,/Ash-Meme,Hey you.....Yeah u,Watcha doin,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
180,Ash Meme,/Ash-Meme,I HAVE +2 FOR INHOUSE,WHEN THE chloroform WEARS OFF,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
181,Ash Meme,/Ash-Meme,I Gave You Them All,,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
182,Ash Meme,/Ash-Meme,Pokémon,FICKER!!!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
183,Ash Meme,/Ash-Meme,Quien Es Peña Nieto?,Quien Sabe,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
184,Ash Meme,/Ash-Meme,Quien Es Peña Nieto?,Quien Sabe,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
185,Ash Meme,/Ash-Meme,Quien Es Peña Nieto?,Quien Sabe,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
186,Ash Meme,/Ash-Meme,Quien Es Peña Nieto?,Quien Sabe,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
187,Ash Meme,/Ash-Meme,The Faces,We Do In Choir,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
188,Ash Meme,/Ash-Meme,guuuurl,imma marowak dat ass wit muh cubone,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
189,Ash Meme,/Ash-Meme,I Look At The Ladies And I'm Like....,"Damn, Gotta Catch Them All!!!!",/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
190,Ash Meme,/Ash-Meme,aye gyal how yuh like to fuck so?,yuh pussy look like thebottomof the pacific ocean deep and dark,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
191,Ash Meme,/Ash-Meme,aye gyal yuh muda pussy tight,but yurs is in a circle,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
192,Ash Meme,/Ash-Meme,ey,who dat,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
193,Ash Meme,/Ash-Meme,Ay Gurl,lemme pikachu,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
194,Ash Meme,/Ash-Meme,,.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
195,Ash Meme,/Ash-Meme,Aye gyul yuh fadda does sell peppa?,cuz yuh real hot,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
196,Ash Meme,/Ash-Meme,I play cRpg Bitch!,And i'll grab your balls!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
197,Ash Meme,/Ash-Meme,i play crpg bitch!,I know all about Horse archery!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
